date,population,admission,release
2020-03-01,128830.95075609678,2651.3751428361898,2179.6310562847457
2020-03-02,128986.61791957129,2333.1315530926004,4335.096406250095
2020-03-03,128159.34641360713,3509.770846231893,3996.391799204025
2020-03-04,127778.80872072437,3604.548902701341,3238.8314913212735
2020-03-05,127744.88264208942,3204.45303173394,4181.974628576176
2020-03-06,127470.90318937754,3908.4086212424704,3882.1022896406007
2020-03-07,127756.76769091404,4169.608457843778,1748.6425253308369
2020-03-08,128462.5920689938,2454.4419034105567,2039.3213847778418
2020-03-09,128615.34084223477,2202.3786257607876,4301.46993083227
2020-03-10,127858.99190169532,3647.7048983387836,3806.1239874796443
2020-03-11,127643.8487283054,3589.628249987135,4283.235298582335
2020-03-12,127008.6390524524,3650.7066572120943,3675.510838559599
2020-03-13,126785.37575429576,3454.8475404029773,3857.5241280813225
2020-03-14,126365.0367391297,3436.6851129152483,1746.0417104989049
2020-03-15,127387.88966535556,2265.239783554073,2064.898064090137
2020-03-16,127284.2563885699,1961.264787304514,5024.108209017673
2020-03-17,124638.19557555244,2380.4622510726304,4640.3882814814415
2020-03-18,122147.56954514363,2149.7622510726305,4060.2808203151567
2020-03-19,119951.50590332657,1866.16395720963,3924.4799799790226
2020-03-20,117698.30892817627,1672.2330048286778,3612.9148284638713
2020-03-21,115626.27861969259,1540.884519980193,1262.2537173527596
2020-03-22,115521.06548292606,1156.1405805862537,1217.6975676201394
2020-03-23,115219.22133011678,915.3534148108529,3462.8042167150275
2020-03-24,113050.69535912569,1297.211369356307,3345.6854464080184
2020-03-25,111094.08318683585,1393.7399407848784,2845.0837980563692
2020-03-26,109423.37119769625,1174.8718089167467,2508.791734564307
2020-03-27,108200.47984347727,1287.8146660596035,2446.0393536119254
2020-03-28,106965.25515592496,1211.7313327262702,867.7550101775821
2020-03-29,107179.83349867564,1086.0222418171795,974.4863233088952
2020-03-30,107140.37850809304,935.364666059604,2304.541878864451
2020-03-31,105976.32351751042,1139.7940778243094,2218.9887387678323
2020-04-01,104919.49829745918,1164.3567554315844,2454.9180865939197
2020-04-02,103660.39529963018,1198.3150887649176,2200.8585627843954
2020-04-03,102749.82603195992,1171.8021919395208,2079.6628737512065
2020-04-04,101742.8628248957,1075.284515171844,893.3588333471662
2020-04-05,101751.12184005372,901.6178485051778,859.4921666804996
2020-04-06,101722.61418854506,830.9845151718445,1997.0963333471661
2020-04-07,100812.68987036971,1089.6095151718444,1894.001005064338
2020-04-08,100066.29838047724,1136.8186850560144,1835.3984289726486
2020-04-09,99411.48134041818,1171.1524645952823,2041.1913610330005
2020-04-10,98570.2741324698,1381.4841530846347,1432.1658476574871
2020-04-11,98465.2389580435,1328.8640065644884,698.0652313756208
2020-04-12,98804.05741817705,1034.8836915091733,717.0811404665297
2020-04-13,98981.72057528028,894.6020211470152,1960.70872731058
2020-04-14,98132.6496599519,1109.8537210731051,1763.6746364014891
2020-04-15,97547.55298704776,1177.102963497348,1700.3797088652577
2020-04-16,97017.77769095522,1170.187746106043,1767.1985122840608
2020-04-17,96480.13134785416,1230.3855025162998,1691.7401789507273
2020-04-18,96090.3877825308,1300.454946960744,788.5165678396166
2020-04-19,96391.62755054083,1088.0063358496332,815.7665678396166
2020-04-20,96531.45065188418,951.4230025162998,1783.9552744033228
2020-04-21,96110.52816120694,1365.5329050012024,1746.3945663117327
2020-04-22,95732.2083793405,1367.7414511119541,1658.4421132092793
2020-04-23,95461.49141132688,1310.63209072038,1643.9032243203908
2020-04-24,95193.15391661772,1359.7986063235617,1647.4891892326712
2020-04-25,95112.45545699628,1565.624062944566,814.532031113013
2020-04-26,95527.83595036628,1231.079191149694,835.0327886887707
2020-04-27,95787.6702316151,1095.8011608466638,1964.02185795284
2020-04-28,95235.22099915537,1412.5892921597951,1720.3656641466462
2020-04-29,95043.63180665573,1499.9751445587624,1898.3189636943805
2020-04-30,94611.52256976507,1471.0766858680909,1796.7692560920414
2020-05-01,94328.847856684,1514.9516858680906,1711.358210864867
2020-05-02,94096.19558326,1478.867475902429,901.6710313776878
2020-05-03,94557.80912180185,1362.45123658619,882.27643322222
2020-05-04,94906.0903810288,1231.516025782501,2016.26248328327
2020-05-05,94350.69386247794,1583.812851179326,1759.716314174601
2020-05-06,94171.5890105938,1580.611462290437,1557.1448856031723
2020-05-07,94240.63350935899,1624.6893843683592,1753.1933704516573
2020-05-08,94767.15338691208,1687.8462924694936,1748.361952111543
2020-05-09,94662.91432418338,1648.8023765623802,876.208105957697
2020-05-10,95203.50859478809,1417.219043229047,866.2671968667878
2020-05-11,95573.24831993823,1234.2212077312113,2493.7629691500597
2020-05-12,95084.84882042413,2003.0173157898198,1844.018657905749
2020-05-13,94957.87184283257,1717.0416803141838,1866.059530921622
2020-05-14,94946.25597635211,1855.818664441168,1810.4632799503713
2020-05-15,94977.31843154998,1841.0257351482387,1726.9632799503713
2020-05-16,95256.31270492966,2003.557553330057,1013.0671760542668
2020-05-17,95814.94334194572,1571.6556885281923,1075.6147951018859
2020-05-18,96122.57397896178,1381.3506952758307,2286.5592395463304
2020-05-19,95660.01017153339,1826.8962257687297,1963.9481284352194
2020-05-20,95775.95826886686,2079.5509876734914,2081.0133881754796
2020-05-21,97862.208963603,1945.1418324885747,2094.911957661549
2020-05-22,97737.2848553643,2033.737849422853,1958.6427268923176
2020-05-23,97923.99975811457,2147.0235637085675,1103.4339856335764
2020-05-24,98598.37223662248,1780.106464141468,1159.5737292233202
2020-05-25,99003.43274931841,1565.3842419192456,1123.1903958899868
